Actual,Predicted
-0.127461287114369,-0.1376745786107445
-0.2299075410296026,-0.22921715213124574
-0.22652395115296012,-0.22612946724256008
-0.1942303954751815,-0.19649463171325568
-0.22755815795271125,-0.2269993800684875
-0.2292977774829285,-0.2289551694079473
-0.22116161878662036,-0.22040733863515763
-0.08646963378550414,-0.08182795378539592
-0.22975211110594057,-0.22965038833863113
-0.20077040841696045,-0.19521289080016288
-0.22953092236842154,-0.22888580771844108
-0.22965646192214856,-0.23016701810239032
-0.11891861938694477,-0.10836349731928059
-0.21691120818186274,-0.21683183006868648
-0.22785706165206132,-0.22420008481386047
-0.22534029250353396,-0.2253079675664636
-0.22321807623814865,-0.22285010400325092
-0.21157876618545798,-0.2134259461561196
-0.18522741605075824,-0.19386318274770958
-0.22105401345485434,-0.22898564512687858
0.1541538222652672,0.14442928532509478
-0.23017655435901763,-0.22921715213124574
-0.22791684239193133,-0.22728397720374607
0.06631798117426366,0.061023667381051555
-0.22897496148763047,-0.22860025406645032
-0.20588763974983318,-0.20706971649925207
-0.21958340725405212,-0.2198882136099633
-0.23017057628503063,-0.2299320820935301
-0.021667311766414895,-0.021500292679161488
-0.2208268466433483,-0.22041363665067948
-0.21964318799392213,-0.21947202546820835
-0.22519084065385891,-0.22327559990892912
-0.13686479749592134,-0.14585436008720384
-0.23099555049523676,-0.2315694723171548
-0.21071194545734287,-0.2153589315632893
-0.197590073055876,-0.20276269744505468
-0.1941945270312595,-0.19709423521851313
-0.19314836408353436,-0.19843182072490503
0.1717771843789457,0.20073800031675806
-0.23074447138778273,-0.230586067788881
-0.22162193048361942,-0.22051564490129502
-0.22749239913885425,-0.22696920908395293
-0.22609352982589606,-0.22385943632108943
-0.2305531730201987,-0.2301145477197371
-0.19871992903941915,-0.20388048631989553
-0.22299688750062963,-0.22337802567910117
-0.22654188537492112,-0.22696170956799364
-0.23064882220399072,-0.23064363223907855
-0.21324664882783123,-0.2186063333768492
-0.13932776397856567,-0.15223775544905943
-0.17901619717826434,-0.18325470108206326
-0.23095370397732776,-0.2315694723171548
-0.2032034845296698,-0.20356395478499503
-0.21532701857530753,-0.21795581187714422
0.04370292728143943,0.009097215404090326
-0.22898093956161747,-0.22885026447511744
